"","id","modified","basisOfRecord","occurrenceID","individualCount","sex","lifeStage","eventID","taxonID","scientificName","kingdom","phylum","class","order","genus","specificEpithet"
"1440",NA,NA,NA,"81d17df6-caef-467f-9a61-bb50084618c6",1,"Adult","Male","8ca4b8cd-cf18-4228-8c2f-7a9e3e80113a",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1441",NA,NA,NA,"32b61810-c0e7-4486-82e8-088dd7337dc3",1,"Adult","Female","8ca4b8cd-cf18-4228-8c2f-7a9e3e80113a",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1442",NA,NA,NA,"7d52688b-d60a-4a09-a021-4a46bad66a1c",7,"Juvenile","unknown","8ca4b8cd-cf18-4228-8c2f-7a9e3e80113a",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1443",NA,NA,NA,"00454ac2-3353-4ff1-934a-f15b35dc45ae",1,"Adult","Male","5ea1fc89-86ed-40b5-8baa-abb60eaa0d92",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1444",NA,NA,NA,"97025fdc-b7ed-4ed4-ba07-4f71eb6e439d",1,"Adult","Male","907f70c3-823b-4854-adbc-336382d40c95",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1445",NA,NA,NA,"04ec876f-1041-4d89-849b-f298fdf50da8",1,"Adult","Male","5162b5d8-a670-49f3-8eee-2fa4c6f1f1b8",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1446",NA,NA,NA,"484a3c3c-fa63-4e5d-829d-3ad20956f886",1,"Adult","Female","5162b5d8-a670-49f3-8eee-2fa4c6f1f1b8",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1447",NA,NA,NA,"ab86e729-1284-4199-bbb0-41e483c64a9c",10,"Juvenile","unknown","5162b5d8-a670-49f3-8eee-2fa4c6f1f1b8",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1448",NA,NA,NA,"29ed277c-5d69-4b6c-9042-3ac1085d95ea",1,"Adult","Female","410b6d92-837f-478a-afd0-b6da859e3c8d",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1449",NA,NA,NA,"3a02d02d-0507-4ebf-8be3-9e4cc5885563",7,"Juvenile","unknown","410b6d92-837f-478a-afd0-b6da859e3c8d",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1450",NA,NA,NA,"8522bd3a-f0e8-41b4-a3cb-924366abb32c",2,"Adult","Male","66f9ca3c-a741-4e43-b9ad-ee3c8fa22cca",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1451",NA,NA,NA,"b746581f-934f-4d8b-9455-2b9482fee45f",2,"Adult","Male","43f132bd-c387-4a0a-bb23-5e9ad9eead8e",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1452",NA,NA,NA,"2cd4e968-753d-4678-9bfc-39cdd7e692a7",2,"unknown","unknown","43f132bd-c387-4a0a-bb23-5e9ad9eead8e",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1453",NA,NA,NA,"46718d05-c8d8-4f3b-b7a8-efcf728510d9",1,"Adult","Female","7d382658-304e-432e-b5ac-502418f9565e",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1454",NA,NA,NA,"f78f13b7-3804-4118-9808-b77a76372039",7,"Juvenile","unknown","7d382658-304e-432e-b5ac-502418f9565e",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1455",NA,NA,NA,"7e36f40f-710c-497a-ac6b-7def0c4cbccf",1,"Adult","Male","9360c7bb-7d75-476b-9a95-39f19ab981ed",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
