"","eventID","sex","lifeStage","individualCount","scientificName","kingdom","phylum","class","order","genus","specificEpithet","occurrenceID"
"450","8c632f96-cf66-49a8-b53d-d5dd77ba489c","Juvenile","unknown",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","c6ad81b7-1b2d-4abb-9881-c148ecfd4079"
"451","59eb4553-dfac-4104-abb3-e1a075b333bf","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","65acdb07-1568-4f86-9465-1ba57e007488"
"452","59eb4553-dfac-4104-abb3-e1a075b333bf","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","75b252a3-62dc-4c8a-8994-b72a5a5476ce"
"453","5bed4757-9d43-4fe7-90c9-044020f36a66","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","c0593f50-786b-4d6b-85f1-9b9992d316d7"
"454","5bed4757-9d43-4fe7-90c9-044020f36a66","Juvenile","unknown",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","f4f57513-76a4-49a8-806e-1812b421c4a9"
"455","08f45f28-f4e6-4275-a048-2962557e0726","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","ef3c16a6-11a4-4228-84a1-91099f32e989"
"456","08f45f28-f4e6-4275-a048-2962557e0726","Juvenile","unknown",7,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","7a05d140-7fbc-49a5-ac22-a39508ea322f"
"457","e68014c1-fca3-418f-81c3-a32a4673bc9b","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","5d7625bc-b5bf-4368-8d12-7118e7ccc74c"
"458","d40c9952-9f4d-46ea-af1c-6d5c4bc8805f","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","8b2a61ad-4f5c-4645-bf0e-2f594e42419f"
"459","d40c9952-9f4d-46ea-af1c-6d5c4bc8805f","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","d9e24e00-ff76-450c-b052-e88f88f11660"
"460","dcb62a23-dc64-4076-86e9-fa3d387375b5","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","e519ee3e-e4b0-4d93-9d0c-812b67fa1c7c"
"461","dcb62a23-dc64-4076-86e9-fa3d387375b5","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","4c41597c-de77-4636-a019-069688a605d3"
"462","36e4c4f2-1bf9-475a-993e-48de14eef4b9","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","7b685a53-01e4-4f8c-8272-1c0c6d918cb3"
"463","60be1ab0-b600-4ce7-8f3d-8663c6fd5521","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","f03b4a19-3058-4e83-aec6-f5730764de6a"
"464","f5dd3315-8108-43d9-84b7-44cbb9c2bdb7","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","961708f8-763c-4894-80f5-9299f1330704"
"465","f5dd3315-8108-43d9-84b7-44cbb9c2bdb7","Juvenile","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","dc2da45a-a199-491d-b979-80b753bea4b1"
"466","2f7b8c47-5a95-4a52-8df4-dd4e888db405","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","8af76347-fb0a-4a71-962d-258f0ebfac31"
"467","501e901d-d537-4394-bbe7-41ee89746f39","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","24ae0411-9ef7-4814-a814-1eb775d5332c"
"468","501e901d-d537-4394-bbe7-41ee89746f39","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","5b298e62-2dd2-4471-a93c-0f452a38107a"
"469","501e901d-d537-4394-bbe7-41ee89746f39","Juvenile","unknown",4,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","837b1dd3-933c-4be1-8951-b2de1bfb2934"
"470","7d426e4b-3266-4c58-a8f1-03a27096333f","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","0a8d7b84-4c02-431a-b9d2-d262da88c717"
"471","7d426e4b-3266-4c58-a8f1-03a27096333f","Adult","Female",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","a815cce2-f0a7-4bd0-87b4-39afe86b8e83"
"472","d8c1c339-1464-4130-a3a2-238904d17015","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","1cf59d25-5652-48d2-8b38-3671ea00883f"
"473","d8c1c339-1464-4130-a3a2-238904d17015","Juvenile","unknown",5,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","a5b6a5d8-e32f-4acc-b124-695b774ac7f0"
"474","3840cf16-413e-49fa-9b44-abf8e2cca567","Adult","unknown",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","2b75d589-d3d3-4700-9d8c-fd6b98ee5215"
"475","68581ebf-760a-4f9f-8cc0-93e6a6e6432b","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","7f8cf72d-f4bd-4a52-b826-9fc8abae0cf2"
"476","c90180dd-ede4-4992-ab33-50cef801ae81","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","9878d0f1-44f3-4392-81b8-029121145f99"
"477","c90180dd-ede4-4992-ab33-50cef801ae81","Adult","Female",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","be87af1b-5136-4282-9178-b77464699006"
"478","1d515b09-93d0-4013-abca-4a35e3db4fa6","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","0402a358-6c27-4a97-9aca-f70b138ccc27"
"479","335615e8-c3fa-41f3-ba76-ba7db0d4b80b","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","3de99027-6bf0-43c1-98a3-e32ebee48717"
"480","c8c86c43-458e-43dc-8c0c-426105101e05","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","7015f6e1-b048-4199-886b-4ed91677ff99"
"481","c8c86c43-458e-43dc-8c0c-426105101e05","Juvenile","unknown",5,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","987660e8-6ab5-45f4-ab89-53e12d6d00b2"
"482","d9c44a9e-2f3f-4263-bf21-17998530a64e","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","80f56d8b-61cd-4dcc-9593-722e7081d29a"
"483","b4e336f9-c3c1-4754-aeb7-814a4e2e673f","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","e82668c4-e5d1-43da-83f9-b8f2abd23594"
"484","4e59f61c-0aa0-4e1f-8ebd-3e13e26343a2","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","9baa1cd2-076a-469f-b5ba-9908cb847578"
"485","73fcf000-e6e6-4a2e-ab7c-39dd44c89f9a","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","22c39d72-667d-494f-848b-5878324967ac"
"486","9c5e3a61-a92f-4492-8a33-e0d240c3efc4","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","ee08245f-1bc1-4a5e-be60-adca2058d905"
"487","9c5e3a61-a92f-4492-8a33-e0d240c3efc4","Juvenile","unknown",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","65e9b71b-0a6c-4f10-ba36-198f65c6ebc2"
"488","76ffb04a-8a2e-4bd9-a87f-e8b1aee30deb","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","113e7f29-188e-45a1-b436-8c5ee9d0af98"
"489","a27f752d-e5f6-4c62-8c2f-88506dcda1f3","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","9189adef-f4c5-45c2-9b00-85bf158c5141"
"490","f42a8409-a246-4c93-95f6-940ddbdcb23c","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","9927b077-7222-4d80-adf1-a0a27d7adfff"
"491","f42a8409-a246-4c93-95f6-940ddbdcb23c","Adult","unknown",3,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","bfcb8518-ca36-441b-a248-daebbdf23600"
"492","840cdd2a-90e8-4d16-8135-86e1965d31b6","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","50370844-e93a-4aaa-875f-8c38601f1ab0"
"493","840cdd2a-90e8-4d16-8135-86e1965d31b6","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","a982b092-a29e-4797-95d9-ec87f2df4d7f"
"494","840cdd2a-90e8-4d16-8135-86e1965d31b6","Juvenile","unknown",3,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","49cc6b59-fffb-409d-ae92-ed200983c8f2"
"495","5da499bf-36e4-451e-94ca-14cb81402310","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","4f927bb5-d89c-4a87-a9d6-21457276bbd2"
"496","5da499bf-36e4-451e-94ca-14cb81402310","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","ddb91bef-dbbb-4056-9873-5cb7b6ffc44b"
"497","5da499bf-36e4-451e-94ca-14cb81402310","Juvenile","unknown",4,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","294f28a9-fb32-480c-9b0b-ee1fb583f670"
"498","356c0d7d-0d96-48b8-be94-269653e7b1ce","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","2cf092c3-dd03-4a19-a29f-3d43256c3fd1"
"499","356c0d7d-0d96-48b8-be94-269653e7b1ce","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","17ed59aa-233d-4147-8850-de5c2e027c41"
"500","356c0d7d-0d96-48b8-be94-269653e7b1ce","Juvenile","unknown",12,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","4b756daf-62c3-45ab-90e5-980288108671"
"501","eea8127c-1fab-48ae-9389-533dd77f6f46","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","c97aac58-9cc8-4fa9-8ef5-27adb9b7f2d7"
"502","eea8127c-1fab-48ae-9389-533dd77f6f46","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","cf60df13-02f2-4611-8fba-427b2a1f6dee"
"503","dccb40c0-ae62-4878-a689-f964f0c2edb7","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","6579b03d-98d5-40db-8cbc-dc80df383315"
