id,type,modified,ownerInstitutionCode,dynamicProperties,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,eventRemarks,locationID,country,stateProvince,municipality,locality,verbatimLocality,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,footprintWKT,footprintSRS
ADC64AFF-EE61-4C05-9333-5E6A112F569D,Event,2020-08-07T21:35:38Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""112"" }",ADC64AFF-EE61-4C05-9333-5E6A112F569D,68002C69-FFE1-4F63-B1BA-A4E1B1042841,Distance sampling based on line transects,NA,NA,2020-08-07,13:10:00,Human observation,2764F58F-7A0C-4E80-BF2D-E22F99B3709C,Norway,Sør-Trøndelag       ,Oppdal,TOV-Åmotsdalen,TOV-Åmotsdalen,"In the original data this is known as lineID 3518, and reporting level: TOV-Åmotsdalen",62.4591,9.3877,100,NA,NA
D42F3BE9-1DBE-4D9E-8C7E-5FF7A04E0E72,Event,2018-01-31T14:51:34Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""64"" }",D42F3BE9-1DBE-4D9E-8C7E-5FF7A04E0E72,EB596AEF-5596-4011-875C-657836D1A50D,Distance sampling based on line transects,NA,NA,2015-08-09,14:55:00,Human observation,B2AB7E28-2E4D-480B-86F0-1A7355A52C2F,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3513, and reporting level: TOV-Møsvatn",59.9,8.295,100,NA,NA
51D2968E-204B-4EAF-A266-607AD7068BCE,Event,2018-01-31T14:51:34Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""10"" }",51D2968E-204B-4EAF-A266-607AD7068BCE,67195D0A-81CB-42AA-9B30-66CDFE260FE9,Distance sampling based on line transects,NA,NA,2015-08-08,15:15:00,Human observation,58FA51FB-7664-4B04-9EC0-53E0C9BCA54D,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3516, and reporting level: TOV-Møsvatn",59.8688,8.2676,100,NA,NA
40792BD6-0F1C-47B8-93C7-608312C49F39,Event,2019-08-15T14:17:55Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""15"" }",40792BD6-0F1C-47B8-93C7-608312C49F39,227E7EBD-A23F-41B7-AD33-E79D86BE40C4,Distance sampling based on line transects,NA,NA,2019-08-15,14:34:00,Human observation,98FF5910-053E-4785-8947-7CF41942424F,Norway,Sør-Trøndelag       ,Oppdal,TOV-Åmotsdalen,TOV-Åmotsdalen,"In the original data this is known as lineID 3561, and reporting level: TOV-Åmotsdalen",62.5288,9.3081,100,NA,NA
262AED73-C3D5-44AD-A486-60AACB51310F,Event,2018-08-11T16:43:26Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""41"" }",262AED73-C3D5-44AD-A486-60AACB51310F,03BBBB36-9903-45E1-A84E-2FAF89459078,Distance sampling based on line transects,NA,NA,2018-08-09,09:35:00,Human observation,529661DD-8103-4333-847F-E7AA9860C8F8,Norway,Sør-Trøndelag       ,Oppdal,TOV-Åmotsdalen,TOV-Åmotsdalen,"In the original data this is known as lineID 3524, and reporting level: TOV-Åmotsdalen",62.4462,9.3699,100,NA,NA
F9FA4A52-29B9-440F-9217-613E2E5F65B2,Event,2019-08-02T18:01:16Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""6"" }",F9FA4A52-29B9-440F-9217-613E2E5F65B2,9DA2C3F1-A71F-4411-98A9-843529FF694B,Distance sampling based on line transects,NA,NA,2019-08-02,17:30:00,Human observation,1497AA12-D5BF-4935-9BD1-341849AE446E,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4027, and reporting level: Kongsvoll",62.3019,9.6557,100,NA,NA
BDC6822B-5E38-46FD-B68B-61E42BE61F42,Event,2018-08-01T10:50:47Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""38"" }",BDC6822B-5E38-46FD-B68B-61E42BE61F42,7E234E40-2037-4EF5-BFCC-F3DCEA1F7186,Distance sampling based on line transects,NA,NA,2018-08-01,11:59:00,Human observation,3C3B719C-F9B8-4283-B4C4-D958C0ADBC66,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3517, and reporting level: TOV-Møsvatn",59.8822,8.2593,100,NA,NA
CA8F71E7-6494-4C65-936A-633ECE2E9303,Event,2018-08-05T13:43:40Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""4"" }",CA8F71E7-6494-4C65-936A-633ECE2E9303,BCE38B6B-4CD4-46D8-AE29-D5F805ED1C79,Distance sampling based on line transects,NA,NA,2018-08-05,12:19:00,Human observation,1497AA12-D5BF-4935-9BD1-341849AE446E,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4027, and reporting level: Kongsvoll",62.2943,9.6554,100,NA,NA
5CAC81A5-D9E9-4373-94C1-6344F45DB435,Event,2018-01-31T14:51:34Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""80"" }",5CAC81A5-D9E9-4373-94C1-6344F45DB435,8A675DA3-707B-496A-9F6B-EF0DDFAB8D58,Distance sampling based on line transects,NA,NA,2016-08-07,20:30:00,Human observation,7863DAF7-B60C-4D6B-AA60-C503B53CFFB2,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3508, and reporting level: TOV-Børgefjell",65.0508,13.842,100,NA,NA
BD11F755-59A5-4D18-B1BF-63522F5916A3,Event,2018-08-03T16:15:43Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""84"" }",BD11F755-59A5-4D18-B1BF-63522F5916A3,4AAB2819-1750-407C-A324-A663ED0BAB0B,Distance sampling based on line transects,NA,NA,2018-08-03,14:02:00,Human observation,2EDE5B7D-CEC6-4D78-9C10-71384A6C1EFA,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4024, and reporting level: Kongsvoll",62.3003,9.6251,100,NA,NA
