id,modified,basisOfRecord,occurrenceID,individualCount,sex,lifeStage,eventID,taxonID,scientificName,kingdom,phylum,class,order,genus,specificEpithet
B0052208-61B5-4B53-A1C4-DDB325E26E11,2019-08-08T12:37:21Z,HumanObservation,D94F4B24-430D-4341-85D8-F3672834B246,12,unknown,Juvenile,B0052208-61B5-4B53-A1C4-DDB325E26E11,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
9764029F-6163-4E60-94A7-DF7A0E439300,2018-01-31T14:51:34Z,HumanObservation,6B5C45FA-FDEA-4FC1-A91C-67EBAD045298,1,Male,Adult,9764029F-6163-4E60-94A7-DF7A0E439300,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
9764029F-6163-4E60-94A7-DF7A0E439300,2018-01-31T14:51:34Z,HumanObservation,185EAB66-278D-4239-B6CF-34DC52B5C804,3,Female,Adult,9764029F-6163-4E60-94A7-DF7A0E439300,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
9764029F-6163-4E60-94A7-DF7A0E439300,2018-02-12T11:43:00Z,HumanObservation,C066BB5D-9231-4E8E-A911-3A0A6B81E325,3,unknown,Juvenile,9764029F-6163-4E60-94A7-DF7A0E439300,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
9CDB7960-D1F2-4D88-8996-E4B777EC941C,2019-08-08T12:37:21Z,HumanObservation,C1F4958F-1125-449E-931D-9B348E6BDA4F,1,Female,Adult,9CDB7960-D1F2-4D88-8996-E4B777EC941C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
9CDB7960-D1F2-4D88-8996-E4B777EC941C,2019-08-08T12:37:21Z,HumanObservation,6D6F77BE-82FA-4120-AE7D-E1A386BD10DA,9,unknown,Juvenile,9CDB7960-D1F2-4D88-8996-E4B777EC941C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
909A41A4-0EA4-43CE-89C5-E5E87934155C,2019-08-08T12:37:21Z,HumanObservation,BD9B0437-1E74-42C3-B958-49DFC3AE6038,1,Male,Adult,909A41A4-0EA4-43CE-89C5-E5E87934155C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
909A41A4-0EA4-43CE-89C5-E5E87934155C,2019-08-08T12:37:21Z,HumanObservation,9F9E133E-070E-40C0-ABAA-CD85CCEDEA3E,1,Female,Adult,909A41A4-0EA4-43CE-89C5-E5E87934155C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
B82A7A7E-9126-47DD-8D97-E9A5A78C125F,2018-01-31T14:51:34Z,HumanObservation,934D648A-CCFC-4685-BF41-33FE42571DAB,1,Male,Adult,B82A7A7E-9126-47DD-8D97-E9A5A78C125F,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
B82A7A7E-9126-47DD-8D97-E9A5A78C125F,2018-01-31T14:51:34Z,HumanObservation,9A024631-376B-4780-BF5C-B57226C6652F,1,Female,Adult,B82A7A7E-9126-47DD-8D97-E9A5A78C125F,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
B82A7A7E-9126-47DD-8D97-E9A5A78C125F,2018-02-12T11:43:00Z,HumanObservation,DEFE499F-FD11-4C7F-957A-2A01FDB2D45F,1,unknown,Juvenile,B82A7A7E-9126-47DD-8D97-E9A5A78C125F,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
44ED7B97-2F94-4F32-9FBA-F36676203B6E,2018-01-31T14:51:34Z,HumanObservation,FC36CC9B-9AE9-4116-9F4C-D872F4B3228A,1,Female,Adult,44ED7B97-2F94-4F32-9FBA-F36676203B6E,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
44ED7B97-2F94-4F32-9FBA-F36676203B6E,2018-02-12T11:43:00Z,HumanObservation,386C26C2-F716-4D14-A258-76FDC60F7DA6,12,unknown,Juvenile,44ED7B97-2F94-4F32-9FBA-F36676203B6E,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
DFEE4147-844C-41FE-9DAA-F644E5D31104,2019-08-08T12:37:21Z,HumanObservation,61186270-B1A9-41EF-ACF6-59C2522B56E9,1,Male,Adult,DFEE4147-844C-41FE-9DAA-F644E5D31104,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
DFEE4147-844C-41FE-9DAA-F644E5D31104,2019-08-08T12:37:21Z,HumanObservation,C7D3B177-CAA2-4CD3-A0C3-5E2A6F768AE4,1,Female,Adult,DFEE4147-844C-41FE-9DAA-F644E5D31104,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
729C1D98-57C8-4165-AB66-F6C4AA287538,2018-01-31T14:51:34Z,HumanObservation,35CA13E0-A181-4D03-A6E8-2BD674C8646A,1,Male,Adult,729C1D98-57C8-4165-AB66-F6C4AA287538,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
826211F3-1EF0-4536-85C3-F94B87D41CCB,2018-01-31T14:51:34Z,HumanObservation,21297E25-20B2-40E3-9B30-736A65666550,1,Male,Adult,826211F3-1EF0-4536-85C3-F94B87D41CCB,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
826211F3-1EF0-4536-85C3-F94B87D41CCB,2018-02-12T11:43:00Z,HumanObservation,EB0AC62E-449F-42BE-A4E5-259353091C39,4,unknown,Juvenile,826211F3-1EF0-4536-85C3-F94B87D41CCB,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
C0DCBD16-80D0-4416-A32C-F9A1007A9E05,2019-08-08T12:37:21Z,HumanObservation,9C607ADA-6E89-4B44-8670-3FF716EF880B,1,unknown,Juvenile,C0DCBD16-80D0-4416-A32C-F9A1007A9E05,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
